country,region,population,gdp_per_capita,tech_level,stability,latitude,longitude
USA,North America,331002651,69287,9,8,39.8283,-98.5795
China,Asia,1439323776,12556,8,7,35.8617,104.1954
Germany,Europe,83783942,51216,9,9,51.1657,10.4515
Japan,Asia,125836021,40113,9,9,36.2048,138.2529
India,Asia,1380004385,2100,6,6,20.5937,78.9629
Brazil,South America,212559417,6796,6,5,-14.2350,-51.9253
Russia,Europe,145912025,11289,7,4,61.5240,105.3188
France,Europe,65273511,43658,9,8,46.2276,2.2137
UK,Europe,67886011,42328,9,8,55.3781,-3.4360
Canada,North America,37742154,46194,9,9,56.1304,-106.3468
Australia,Oceania,25499884,54107,9,9,-25.2744,133.7751
South Korea,Asia,51269185,34622,9,8,35.9078,127.7669
Italy,Europe,60461826,34260,8,7,41.8719,12.5674
Spain,Europe,46754778,29600,8,7,40.4637,-3.7492
Mexico,North America,128932753,9863,6,5,23.6345,-102.5528
Indonesia,Asia,273523615,4349,5,6,-0.7893,113.9213
Netherlands,Europe,17134872,52331,9,9,52.1326,5.2913
Saudi Arabia,Middle East,34813871,23566,7,6,24.0,45.0
Turkey,Europe,84339067,9371,6,5,38.9637,35.2433
Switzerland,Europe,8654622,86601,9,9,46.8182,8.2275 
